Fasta	Genome	contig	Start	Stop	protID	name	url
GCF-001026925-protein3429.fasta	GCF_001026925	NZ_CP010867.1	1513132	1513558	3429	50S ribosomal protein L11	http://purl.uniprot.org/uniprot/S9B5B2
GCF-001026925-protein3352.fasta	GCF_001026925	NZ_CP010867.1	1427016	1427322	3352	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y1Y9
GCF-001026925-protein2977.fasta	GCF_001026925	NZ_CP010867.1	1045017	1045869	2977	Ribosome biogenesis GTPase A	http://purl.uniprot.org/uniprot/S9LTJ2
GCF-001026925-protein2684.fasta	GCF_001026925	NZ_CP010867.1	723837	725637	2684	Beta-glucuronidase	http://purl.uniprot.org/uniprot/A0A0E1EGE5
GCF-001026925-protein3588.fasta	GCF_001026925	NZ_CP010867.1	1669211	1669442	3588	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1ENQ3
GCF-000427035-protein3018.fasta	GCF_000427035	NC_021485.1	944185	946819	3018	Internalin	http://purl.uniprot.org/uniprot/A0A0E1EH08
GCF-001026925-protein2029.fasta	GCF_001026925	NZ_CP010867.1	52782	53226	2029	Putative sugar isomerase involved in processing of exogenous sialic acid	http://purl.uniprot.org/uniprot/A0A0E1EEV8
GCF-000689235-protein1154.fasta	GCF_000689235	NZ_HG939456.1	1223196	1224198	1154	Cytosine-specific methyltransferase	http://purl.uniprot.org/uniprot/A0A1J7VKS0
GCF-000689235-protein582.fasta	GCF_000689235	NZ_HG939456.1	611421	612270	582	CylD protein	http://purl.uniprot.org/uniprot/S9B3K7
GCF-001026925-protein3447.fasta	GCF_001026925	NZ_CP010867.1	1530807	1531764	3447	NAD-dependent oxidoreductase	http://purl.uniprot.org/uniprot/A0A0E1EIU4
GCF-000196055-protein395.fasta	GCF_000196055	NC_004368.1	408917	409265	395	TrbC/VIRB2 family membrane protein	http://purl.uniprot.org/uniprot/A0A2D4DP02
GCF-000007265-protein605.fasta	GCF_000007265	NC_004116.1	609765	610971	605	Cell cycle protein FtsW	http://purl.uniprot.org/uniprot/F8XZ36
GCF-000689235-protein846.fasta	GCF_000689235	NZ_HG939456.1	901358	901775	846	Cytidine deaminase	http://purl.uniprot.org/uniprot/E7S4J2
GCF-000689235-protein1337.fasta	GCF_000689235	NZ_HG939456.1	1421325	1421562	1337	Preprotein translocase subunit SecG	http://purl.uniprot.org/uniprot/F8Y233
GCF-000196055-protein465.fasta	GCF_000196055	NC_004368.1	490254	490539	465	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8XYQ5
GCF-001026925-protein3420.fasta	GCF_001026925	NZ_CP010867.1	1504758	1505613	3420	S1 RNA binding domain protein	http://purl.uniprot.org/uniprot/A0A0E1EN79
GCF-000196055-protein2078.fasta	GCF_000196055	NC_004368.1	2148105	2149167	2078	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E2P4
GCF-001026925-protein3731.fasta	GCF_001026925	NZ_CP010867.1	1813193	1815641	3731	Chaperone protein ClpB	http://purl.uniprot.org/uniprot/A0A0E1EQ54
GCF-000689235-protein337.fasta	GCF_000689235	NZ_HG939456.1	368439	369072	337	Ribonuclease P	http://purl.uniprot.org/uniprot/A0A1J7WIA1
GCF-001026925-protein3433.fasta	GCF_001026925	NZ_CP010867.1	1517597	1517951	3433	Membrane protein	http://purl.uniprot.org/uniprot/S9B747
GCF-000007265-protein548.fasta	GCF_000007265	NC_004116.1	567248	567731	548	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BB50B1
GCF-000007265-protein1207.fasta	GCF_000007265	NC_004116.1	1253013	1253391	1207	Chromosome partitioning protein ParA	http://purl.uniprot.org/uniprot/A0A0H1DL30
GCF-001026925-protein2214.fasta	GCF_001026925	NZ_CP010867.1	238507	238978	2214	Uncharacterized protein	http://purl.uniprot.org/uniprot/S9KTJ6
GCF-000689235-protein1781.fasta	GCF_000689235	NZ_HG939456.1	1860375	1860858	1781	Antirestriction protein ArdA	http://purl.uniprot.org/uniprot/E7S1H5
GCF-001026925-protein2216.fasta	GCF_001026925	NZ_CP010867.1	239607	239895	2216	XRE family transcriptional regulator	http://purl.uniprot.org/uniprot/A0A1F0CEE8
GCF-001026925-protein3856.fasta	GCF_001026925	NZ_CP010867.1	1930852	1931929	3856	Transcriptional regulator	http://purl.uniprot.org/uniprot/A0A0E1EJY9
GCF-000689235-protein444.fasta	GCF_000689235	NZ_HG939456.1	474298	474877	444	Transcriptional regulator	http://purl.uniprot.org/uniprot/S9CSS1
GCF-001026925-protein3561.fasta	GCF_001026925	NZ_CP010867.1	1636598	1636901	3561	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	http://purl.uniprot.org/uniprot/Q3JZM0
GCF-001026925-protein3255.fasta	GCF_001026925	NZ_CP010867.1	1329896	1330370	3255	Acetyltransferase	http://purl.uniprot.org/uniprot/A0A1F0CB78
GCF-001026925-protein3010.fasta	GCF_001026925	NZ_CP010867.1	1075726	1078909	3010	Carbamoyl-phosphate synthase large chain	http://purl.uniprot.org/uniprot/A0A0H1PZ40
GCF-000689235-protein330.fasta	GCF_000689235	NZ_HG939456.1	362010	362745	330	3-ketoacyl-ACP reductase	http://purl.uniprot.org/uniprot/S9BH50
GCF-001026925-protein3680.fasta	GCF_001026925	NZ_CP010867.1	1761662	1762514	3680	Ribosomal RNA large subunit methyltransferase A	http://purl.uniprot.org/uniprot/A0A0E1ENZ0
GCF-000012705-protein2127.fasta	GCF_000012705	NC_007432.1	35709	36417	2127	Phosphoribosylaminoimidazole-succinocarboxamide synthase	http://purl.uniprot.org/uniprot/Q3K403
GCF-000012705-protein3872.fasta	GCF_000012705	NC_007432.1	1830887	1831343	3872	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y2Z0
GCF-001026925-protein3216.fasta	GCF_001026925	NZ_CP010867.1	1287596	1288805	3216	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0G2ZA37
GCF-000689235-protein218.fasta	GCF_000689235	NZ_HG939456.1	235067	235907	218	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1T0C6E1
GCF-000689235-protein911.fasta	GCF_000689235	NZ_HG939456.1	969594	970026	911	GNAT family acetyltransferase	http://purl.uniprot.org/uniprot/S9B1V8
GCF-000689235-protein1559.fasta	GCF_000689235	NZ_HG939456.1	1632370	1632682	1559	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8Y2P8
GCF-001026925-protein3717.fasta	GCF_001026925	NZ_CP010867.1	1799260	1799878	3717	Membrane protein	http://purl.uniprot.org/uniprot/A0A0E1EJR3
GCF-001026925-protein3649.fasta	GCF_001026925	NZ_CP010867.1	1732318	1732729	3649	Acetyltransferase	http://purl.uniprot.org/uniprot/A0A0E1EPY0
GCF-000689235-protein813.fasta	GCF_000689235	NZ_HG939456.1	863879	864650	813	Acid sugar phosphatase	http://purl.uniprot.org/uniprot/F8Y038
GCF-000689235-protein82.fasta	GCF_000689235	NZ_HG939456.1	89900	90839	82	DNA-directed RNA polymerase subunit alpha	http://purl.uniprot.org/uniprot/S9CJZ9
GCF-001026925-protein2019.fasta	GCF_001026925	NZ_CP010867.1	42023	43046	2019	Phosphoribosylformylglycinamidine cyclo-ligase	http://purl.uniprot.org/uniprot/Q8E7W9
GCF-001026925-protein3222.fasta	GCF_001026925	NZ_CP010867.1	1296774	1297719	3222	homocysteine S-methyltransferase	http://purl.uniprot.org/uniparc/UPI0002BB6EFB
